id,intitule,entreprise,lieu,departement,contrat,experience,salaire,date_publication,rome,competences,url
211RFPT,Assistant(e) Marketing & Digital & CRM F/H (H/F),AUTODISTRIBUTION TALBOT,79 - Thouars,79,CDI,1 An(s),Mensuel de 2081.0 Euros à 2200.0 Euros,2026-07-24,M1620,Analyser les performances de l'équipe et proposer des améliorations | Mettre en place des solutions d'amélioration de la performance,https://candidat.francetravail.fr/offres/recherche/detail/211RFPT
212TZML,Chargé(e) de marke.ng digital - Tourisme social et solidaire (H/F),,49 - ANGERS,49,CDI,3 An(s),Horaire de 14.5 Euros,2026-08-24,M1718,Marketing des réseaux sociaux | Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/212TZML
212SHRL,Head of Digital (H/F),LA CADETTE,75 - PARIS,75,CDI,10 Mois,Annuel de 100000.0 Euros,2026-08-20,M1716,Elaborer une stratégie de marketing digital,https://candidat.francetravail.fr/offres/recherche/detail/212SHRL
214BJLW,"Chargé, Chargée de marketing (F/H) (H/F)",ESSCA,49 - Angers,49,CDI,2 An(s),Annuel de 35000.0 Euros à 38500.0 Euros,2026-09-17,M1718,Marketing des réseaux sociaux | Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/214BJLW
213MPNQ,Business Analyst Digital (H/F),CWF CHILDREN WORLDWIDE FASHION,85 - LES HERBIERS,85,CDI,3 An(s),,2026-09-07,M1718,Veille concurrentielle sur le marché digital | Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Gérer les campagnes publicitaires digitales | Mettre en place des solutions d'amélioration de la performance,https://candidat.francetravail.fr/offres/recherche/detail/213MPNQ
213GMLY,Marketing Automation & IA (H/F),E-BOOSTING,67 - LA WANTZENAU,67,CDD,1 An(s),,2026-09-02,M1716,"Elaborer une stratégie de marketing digital | Concevoir des modèles de détection des insights consommateurs | Elaborer, suivre et piloter un budget | Exploiter des solutions de Data Science ou d'Intelligence Artificielle | N8N, Claude, Supabase, Higgfield, Rag, GEO",https://candidat.francetravail.fr/offres/recherche/detail/213GMLY
212WVFS,Senior Product Marketing Manager (F/H/X) (H/F),EDITIONS TECHNIQUES POUR L'AUTOMOBILE ET,94 - GENTILLY,94,CDI,3 An(s),,2026-08-25,M1718,Marketing des réseaux sociaux | Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/212WVFS
212SVDP,Chargé(e) de Marketing Solutions Digitales - CDI - H/F (H/F),ARCANES,13 - Marseille 8e Arrondissement,13,CDI,Débutant accepté,Annuel de 26000.0 Euros à 29000.0 Euros sur 12.0 mois,2026-08-21,M1718,Capacité à adapter le ton selon l'audience | Administration autonome d'un site WordPress  | Capacité à produire supports propres rapidement | Prises de vues et montage photo/vidéo | Aisance rédactionnelle  | À l'aise avec les sujets techniques,https://candidat.francetravail.fr/offres/recherche/detail/212SVDP
211HCSM,Demand Generation Manager (H/F/X) (H/F),EDITIONS TECHNIQUES POUR L'AUTOMOBILE ET,94 - GENTILLY,94,CDI,8 An(s),,2026-07-16,M1718,Marketing des réseaux sociaux | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Effectuer un reporting régulier à la hiérarchie | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/211HCSM
209FNBG,Chef(fe) de produit marketing junior (H/F),CENTRE VAL DE LOIRE EATT,45 - CHILLEURS AUX BOIS,45,MIS,Débutant accepté,Horaire de 12.31 Euros - selon profil,2026-06-03,M1718,Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Mettre en place des solutions d'amélioration de la performance,https://candidat.francetravail.fr/offres/recherche/detail/209FNBG
